epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,8854.89,2.48682,2.84931,2.66692,0.06973,0.16061,0.03704,0.01144,2.55992,3.26419,2.74932,0.0017426,0.0017426,0.0017426
15,9333.57,2.40895,2.80834,2.61541,0.10624,0.16875,0.04928,0.01807,2.51055,3.16228,2.68392,0.0017228,0.0017228,0.0017228
16,9785.79,2.33886,2.76179,2.55324,0.09857,0.13619,0.03804,0.0123,2.48581,3.2523,2.6762,0.001703,0.001703,0.001703
17,10247.8,2.36737,2.72784,2.51093,0.12831,0.14379,0.05397,0.01682,2.57172,3.4746,2.72689,0.0016832,0.0016832,0.0016832
18,10697.3,2.3513,2.74684,2.5181,0.14751,0.16332,0.06324,0.01952,2.46229,3.14647,2.63431,0.0016634,0.0016634,0.0016634
19,11109.4,2.2952,2.70266,2.45778,0.11337,0.14297,0.04859,0.01614,2.43018,3.098,2.64529,0.0016436,0.0016436,0.0016436
20,11557.7,2.2421,2.66074,2.42162,0.16323,0.13517,0.07185,0.02483,2.34241,2.88785,2.52765,0.0016238,0.0016238,0.0016238
21,12010.4,2.22194,2.62658,2.3653,0.19196,0.15383,0.07558,0.0268,2.35628,3.04557,2.57377,0.001604,0.001604,0.001604
22,12420.4,2.19602,2.55687,2.32358,0.22762,0.16359,0.10667,0.03764,2.31183,2.76835,2.45141,0.0015842,0.0015842,0.0015842
23,12785.2,2.19287,2.58272,2.3423,0.18674,0.13972,0.0862,0.02973,2.27404,2.93693,2.49783,0.0015644,0.0015644,0.0015644
24,13161.9,2.13151,2.55031,2.31496,0.24155,0.15165,0.11948,0.04597,2.20388,2.6754,2.40406,0.0015446,0.0015446,0.0015446
25,13540.1,2.11291,2.48392,2.28375,0.20975,0.16875,0.10236,0.03435,2.32482,2.77203,2.47475,0.0015248,0.0015248,0.0015248
26,13917.7,2.10689,2.45777,2.26039,0.25491,0.18041,0.12877,0.04954,2.19066,2.61539,2.34915,0.001505,0.001505,0.001505
27,14301,2.11413,2.45602,2.21195,0.23967,0.17258,0.1279,0.04719,2.2259,2.64877,2.41231,0.0014852,0.0014852,0.0014852
28,14654.9,2.07331,2.43712,2.25579,0.21218,0.17906,0.13102,0.0504,2.23291,2.642,2.41736,0.0014654,0.0014654,0.0014654
29,14997,2.07692,2.46743,2.23001,0.27989,0.20076,0.15483,0.06088,2.11569,2.52006,2.28641,0.0014456,0.0014456,0.0014456
30,15348,2.07743,2.43119,2.20703,0.22118,0.17987,0.12178,0.0441,2.16826,2.63201,2.328,0.0014258,0.0014258,0.0014258
31,15700.8,1.98787,2.36034,2.17703,0.27904,0.20944,0.16217,0.06493,2.10097,2.50612,2.26668,0.001406,0.001406,0.001406
32,16054.2,2.04154,2.35444,2.16724,0.27267,0.21514,0.16983,0.07081,2.07098,2.42785,2.22469,0.0013862,0.0013862,0.0013862
33,16389,2.01539,2.36374,2.13448,0.30362,0.21026,0.16758,0.06647,2.06212,2.45941,2.23559,0.0013664,0.0013664,0.0013664
34,16728.7,1.93356,2.33511,2.15527,0.31413,0.20374,0.15613,0.06692,2.08444,2.46963,2.25752,0.0013466,0.0013466,0.0013466
35,17056.9,1.99883,2.3764,2.13889,0.30407,0.21622,0.16985,0.06597,2.02818,2.39099,2.20485,0.0013268,0.0013268,0.0013268
36,17406.6,1.92963,2.32242,2.09945,0.30545,0.21416,0.18057,0.0711,2.15954,2.45659,2.28435,0.001307,0.001307,0.001307
37,17749.4,1.99771,2.32018,2.15016,0.32061,0.22192,0.1911,0.07947,2.04904,2.39324,2.20689,0.0012872,0.0012872,0.0012872
38,18089.7,1.93604,2.2986,2.12729,0.32781,0.21894,0.19239,0.08174,2.0118,2.37575,2.19356,0.0012674,0.0012674,0.0012674
39,18443.1,1.90061,2.27466,2.0837,0.33187,0.24308,0.2177,0.09827,2.00241,2.2713,2.1512,0.0012476,0.0012476,0.0012476
40,18783.5,1.95765,2.23591,2.08991,0.34151,0.24607,0.21218,0.09354,1.98894,2.30621,2.15028,0.0012278,0.0012278,0.0012278
41,19106.3,1.91609,2.23625,2.05011,0.35084,0.25231,0.22309,0.0977,1.97803,2.28762,2.13945,0.001208,0.001208,0.001208
42,19453.9,1.86643,2.19966,2.04703,0.29571,0.24091,0.21337,0.09869,1.95681,2.29688,2.12116,0.0011882,0.0011882,0.0011882
43,19804.8,1.92198,2.24766,2.07426,0.35525,0.25556,0.22806,0.0976,1.96712,2.25479,2.11972,0.0011684,0.0011684,0.0011684
44,20133,1.9178,2.2093,2.05409,0.35123,0.25424,0.23199,0.10437,1.96256,2.22202,2.10776,0.0011486,0.0011486,0.0011486
45,20455.7,1.88326,2.17779,2.03675,0.35287,0.27618,0.22554,0.09573,1.92989,2.20408,2.08091,0.0011288,0.0011288,0.0011288
46,20790.3,1.85085,2.17788,2.04607,0.36073,0.25827,0.24348,0.11035,1.9496,2.19519,2.08771,0.001109,0.001109,0.001109
47,21141.7,1.85923,2.16126,2.00383,0.35223,0.27184,0.24264,0.10697,1.93974,2.19414,2.07776,0.0010892,0.0010892,0.0010892
48,21495.6,1.90418,2.18521,2.00911,0.3782,0.30928,0.26614,0.11762,1.88862,2.17323,2.04906,0.0010694,0.0010694,0.0010694
49,21839.4,1.85453,2.16962,2.0147,0.34963,0.25665,0.23862,0.10741,1.93739,2.19356,2.0935,0.0010496,0.0010496,0.0010496
50,22158.2,1.88503,2.17183,2.00872,0.36961,0.26017,0.24261,0.11004,1.91526,2.1918,2.05708,0.0010298,0.0010298,0.0010298
51,22491.3,1.83496,2.13804,1.95596,0.39251,0.29028,0.27277,0.12749,1.89549,2.13186,2.02117,0.00101,0.00101,0.00101
52,22828.2,1.86145,2.10955,1.96956,0.41953,0.30079,0.28927,0.13126,1.88012,2.09687,2.04001,0.0009902,0.0009902,0.0009902
53,23154.4,1.82192,2.09152,1.98171,0.40584,0.31036,0.29094,0.13469,1.83846,2.05483,1.99427,0.0009704,0.0009704,0.0009704
54,23504.8,1.80308,2.10241,1.98984,0.39743,0.30629,0.28463,0.12537,1.85598,2.10332,1.99207,0.0009506,0.0009506,0.0009506
55,23857,1.79122,2.07431,1.9587,0.43313,0.32474,0.31256,0.1465,1.83097,2.03383,1.9809,0.0009308,0.0009308,0.0009308
56,24209.9,1.75143,2.0318,1.94877,0.41677,0.32822,0.31031,0.14656,1.83262,2.01698,1.98148,0.000911,0.000911,0.000911
57,24565.4,1.77559,2.0248,1.92796,0.42657,0.32664,0.318,0.1497,1.81581,1.99638,1.95448,0.0008912,0.0008912,0.0008912
58,24933.6,1.80018,2.00533,1.92544,0.42901,0.33207,0.31649,0.15352,1.791,1.97562,1.94097,0.0008714,0.0008714,0.0008714
59,25312.8,1.79423,2.04476,1.93119,0.43075,0.33261,0.31501,0.14856,1.80377,2.01291,1.93742,0.0008516,0.0008516,0.0008516
60,25728.4,1.79431,2.01218,1.90974,0.42676,0.33023,0.30667,0.13571,1.81442,2.03727,1.94906,0.0008318,0.0008318,0.0008318
61,26092.6,1.75188,2.03126,1.91737,0.44955,0.34021,0.32651,0.15641,1.78901,1.96681,1.93653,0.000812,0.000812,0.000812
62,26455.4,1.75698,2.01486,1.91766,0.45151,0.34373,0.34232,0.16841,1.7786,1.94332,1.9126,0.0007922,0.0007922,0.0007922
63,26903.7,1.75398,2.00046,1.90267,0.43339,0.34916,0.3285,0.15255,1.81418,1.98494,1.96029,0.0007724,0.0007724,0.0007724
64,27299.4,1.77605,1.9977,1.90617,0.43222,0.33831,0.31978,0.14792,1.79334,1.95162,1.92693,0.0007526,0.0007526,0.0007526
65,27707.3,1.74007,2.00441,1.95244,0.45129,0.33152,0.33481,0.16995,1.72757,1.92275,1.87648,0.0007328,0.0007328,0.0007328
66,28116.4,1.71917,1.97351,1.86549,0.44555,0.35623,0.34729,0.16372,1.73829,1.934,1.88522,0.000713,0.000713,0.000713
67,28451.6,1.73025,1.97326,1.9125,0.45938,0.34156,0.34828,0.1767,1.73997,1.92431,1.8813,0.0006932,0.0006932,0.0006932
68,28974.7,1.74994,1.96102,1.87726,0.4728,0.36869,0.36874,0.17781,1.7251,1.87733,1.8695,0.0006734,0.0006734,0.0006734
69,29352.2,1.75532,1.93558,1.89356,0.47455,0.35626,0.35765,0.17698,1.74624,1.85688,1.89739,0.0006536,0.0006536,0.0006536
70,29729.7,1.73165,1.94808,1.89445,0.44751,0.36951,0.3605,0.17633,1.71814,1.84829,1.87095,0.0006338,0.0006338,0.0006338
71,30068.7,1.71909,1.91653,1.87056,0.46038,0.36788,0.35845,0.18216,1.7132,1.85306,1.85359,0.000614,0.000614,0.000614
72,30440.2,1.71934,1.92109,1.84495,0.44073,0.37276,0.36003,0.17289,1.7079,1.85233,1.8566,0.0005942,0.0005942,0.0005942
73,30795.1,1.65842,1.88687,1.85934,0.45875,0.37059,0.36569,0.18596,1.69324,1.82312,1.85038,0.0005744,0.0005744,0.0005744
74,31149.4,1.68903,1.87629,1.84972,0.48888,0.38307,0.39011,0.19938,1.6733,1.77778,1.82716,0.0005546,0.0005546,0.0005546
75,31504.5,1.66627,1.85956,1.83883,0.4717,0.36706,0.36829,0.18352,1.69003,1.79922,1.83304,0.0005348,0.0005348,0.0005348
76,31857,1.68722,1.9127,1.85771,0.48496,0.36706,0.37154,0.19409,1.67264,1.78975,1.8324,0.000515,0.000515,0.000515
77,32210.7,1.64822,1.87096,1.83032,0.51774,0.379,0.40063,0.20333,1.65537,1.75715,1.81064,0.0004952,0.0004952,0.0004952
78,32566.3,1.66249,1.86201,1.81499,0.50692,0.39555,0.40672,0.20745,1.65141,1.74506,1.80953,0.0004754,0.0004754,0.0004754
79,32921.7,1.68374,1.85863,1.84771,0.51047,0.39447,0.40442,0.20971,1.64905,1.7379,1.79659,0.0004556,0.0004556,0.0004556
80,33276.1,1.63024,1.83053,1.83145,0.50931,0.39591,0.40864,0.21214,1.63783,1.73649,1.79271,0.0004358,0.0004358,0.0004358
81,33630.9,1.64938,1.87157,1.82508,0.50303,0.40532,0.40446,0.2103,1.62872,1.77787,1.77846,0.000416,0.000416,0.000416
82,33985.6,1.63651,1.80702,1.79567,0.51607,0.39231,0.41309,0.21478,1.62634,1.72471,1.77761,0.0003962,0.0003962,0.0003962
83,34339.6,1.63367,1.81632,1.82013,0.48967,0.40667,0.40852,0.21785,1.60803,1.70266,1.76354,0.0003764,0.0003764,0.0003764
84,34694.6,1.6233,1.83247,1.81375,0.51659,0.40675,0.42228,0.22289,1.61032,1.68982,1.7639,0.0003566,0.0003566,0.0003566
85,35051.2,1.61993,1.80338,1.80157,0.50491,0.4064,0.41414,0.22501,1.58507,1.67516,1.75103,0.0003368,0.0003368,0.0003368
86,35406.7,1.6082,1.80947,1.80128,0.53416,0.40803,0.42949,0.22466,1.60933,1.67064,1.75454,0.000317,0.000317,0.000317
87,35761.4,1.60139,1.8013,1.76591,0.52769,0.40776,0.42874,0.22897,1.5993,1.66983,1.74518,0.0002972,0.0002972,0.0002972
88,36117.5,1.66741,1.79836,1.78485,0.54578,0.40477,0.43861,0.23207,1.5789,1.6605,1.7308,0.0002774,0.0002774,0.0002774
89,36474.4,1.62436,1.75375,1.76296,0.53189,0.41997,0.44064,0.23198,1.57618,1.64462,1.73189,0.0002576,0.0002576,0.0002576
90,36826.1,1.57583,1.77478,1.80346,0.5295,0.40098,0.42604,0.23149,1.57048,1.64661,1.73852,0.0002378,0.0002378,0.0002378
91,37179.9,1.65984,1.94113,1.83323,0.51909,0.41183,0.43303,0.2309,1.59029,1.66558,1.73808,0.000218,0.000218,0.000218
92,37532.6,1.64166,1.83643,1.8033,0.53797,0.40559,0.43946,0.23764,1.57812,1.64883,1.72375,0.0001982,0.0001982,0.0001982
93,37886.2,1.59232,1.76199,1.78721,0.5563,0.4211,0.45221,0.24416,1.55844,1.63422,1.70497,0.0001784,0.0001784,0.0001784
94,38237.2,1.61618,1.74999,1.78646,0.54857,0.42404,0.45532,0.24541,1.55862,1.62318,1.70214,0.0001586,0.0001586,0.0001586
95,38589.9,1.6097,1.7306,1.78265,0.54539,0.42929,0.45677,0.25088,1.5381,1.60291,1.69096,0.0001388,0.0001388,0.0001388
96,38941.3,1.58912,1.73071,1.74836,0.5571,0.42756,0.46369,0.25129,1.53963,1.59171,1.68681,0.000119,0.000119,0.000119
97,39293.2,1.59355,1.69649,1.76147,0.5624,0.42594,0.46492,0.25335,1.52688,1.57637,1.68313,9.92e-05,9.92e-05,9.92e-05
98,39644.5,1.55927,1.69774,1.77944,0.5647,0.42514,0.46531,0.25892,1.52158,1.5712,1.6788,7.94e-05,7.94e-05,7.94e-05
99,39994.7,1.56505,1.74015,1.78607,0.57134,0.42235,0.46949,0.26087,1.51529,1.5637,1.67214,5.96e-05,5.96e-05,5.96e-05
100,40346.2,1.58129,1.72406,1.77858,0.56853,0.43407,0.4752,0.26302,1.51188,1.55255,1.66709,3.98e-05,3.98e-05,3.98e-05
