epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,610.698,3.52955,3.43494,4.15905,0.00564,0.25095,0.02962,0.01105,3.55699,3.5212,4.12632,0.000649123,0.000649123,0.000649123
2,1396.4,3.36858,3.27833,3.886,0.03375,0.09251,0.00773,0.0022,3.54797,3.93613,4.38521,0.00130276,0.00130276,0.00130276
3,2117.55,3.12095,3.25702,3.56491,0.08031,0.08058,0.01769,0.0053,3.15631,3.91485,3.82085,0.0019432,0.0019432,0.0019432
4,2973.92,2.92596,3.24549,3.33584,0.08077,0.04721,0.01335,0.00411,2.9627,4.42378,3.37549,0.0019406,0.0019406,0.0019406
5,3756.13,2.85329,3.19966,3.1693,0.00706,0.34455,0.01249,0.0034,2.90561,3.7159,3.19909,0.0019208,0.0019208,0.0019208
6,4374.61,2.8201,3.18063,3.04958,0.03166,0.15057,0.01135,0.00321,2.91075,3.76563,3.05924,0.001901,0.001901,0.001901
7,4797.42,2.76461,3.16169,2.98051,0.01265,0.24362,0.02568,0.00756,2.75553,3.67684,2.9953,0.0018812,0.0018812,0.0018812
8,5217.32,2.75865,3.10145,2.90346,0.00798,0.38931,0.01282,0.00385,2.82876,3.68957,2.99549,0.0018614,0.0018614,0.0018614
9,5760.02,2.68614,3.09819,2.86963,0.02019,0.29056,0.01713,0.00553,2.78546,3.76127,2.96532,0.0018416,0.0018416,0.0018416
10,6318.89,2.65667,3.05036,2.83768,0.02064,0.28296,0.02249,0.00682,2.78158,3.45525,2.93605,0.0018218,0.0018218,0.0018218
11,7101,2.61726,3.05416,2.79504,0.01236,0.43597,0.02352,0.00696,2.71978,3.4131,2.85064,0.001802,0.001802,0.001802
12,7911.6,2.57328,2.95921,2.72995,0.05699,0.1663,0.02152,0.00678,2.61617,3.46647,2.81252,0.0017822,0.0017822,0.0017822
13,8412.85,2.50099,2.89432,2.66083,0.03744,0.1758,0.01646,0.00525,2.6141,3.76257,2.78014,0.0017624,0.0017624,0.0017624
